N	Z	Atomic	Ma	
1	0	1	008664	9157
0	1	1	007825	03207
1	1	2	014101	7778
2	1	3	016049	2777
1	2	3	016029	3191
0	3	3	030780#	
3	1	4	027810	
2	2	4	002603	25415
1	3	4	027190	
4	1	5	035310	
3	2	5	012220	
2	3	5	012540	
1	4	5	040790#	
5	1	6	044940	
4	2	6	018889	1
3	3	6	015122	795
2	4	6	019726	
1	5	6	046810#	
6	1	7	052750#	
5	2	7	028021	
4	3	7	016004	55
3	4	7	016929	83
2	5	7	029920	
6	2	8	033922	
5	3	8	022487	36
4	4	8	005305	10
3	5	8	024607	2
2	6	8	037675	
7	2	9	043950	
6	3	9	026789	5
5	4	9	012182	2
4	5	9	013328	8
3	6	9	031036	7
8	2	10	052400	
7	3	10	035481	
6	4	10	013533	8
5	5	10	012937	0
4	6	10	016853	2
3	7	10	041650	
8	3	11	043798	
7	4	11	021658	
6	5	11	009305	4
5	6	11	011433	6
4	7	11	026090	
9	3	12	053780#	
8	4	12	026921	
7	5	12	014352	1
6	6	12	000000	0
5	7	12	018613	2
4	8	12	034405	
9	4	13	035690	
8	5	13	017780	2
7	6	13	003354	8378
6	7	13	005738	61
5	8	13	024812	
10	4	14	042890	
9	5	14	025404	
8	6	14	003241	989
7	7	14	003074	0048
6	8	14	008596	25
5	9	14	035060#	
11	4	15	053460#	
10	5	15	031103	
9	6	15	010599	3
8	7	15	000108	8982
7	8	15	003065	6
6	9	15	018010	
12	4	16	061920#	
11	5	16	039810	
10	6	16	014701	
9	7	16	006101	7
8	8	15	994914	61956
7	9	16	011466	
6	10	16	025761	
12	5	17	046990	
11	6	17	022586	
10	7	17	008450	
9	8	16	999131	70
8	9	17	002095	24
7	10	17	017672	
13	5	18	056170#	
12	6	18	026760	
11	7	18	014079	
10	8	17	999161	0
9	9	18	000938	0
8	10	18	005708	2
7	11	18	025970	
14	5	19	063730#	
13	6	19	034810	
12	7	19	017029	
11	8	19	003580	
10	9	18	998403	22
9	10	19	001880	2
8	11	19	013877	
7	12	19	035470	
14	6	20	040320	
13	7	20	023370	
12	8	20	004076	7
